param w :=
    150 2 4588275.0
    150 3 4189380.0
    151 1 1534522.0
    151 2 2949336.0
    151 3 8711424.0
    152 1 8893800.0
    152 2 2067560.0
    152 3 3867237.0
    153 1 9451008.0
    153 2 4568602.0
    153 3 2901100.0
    154 1 2710084.0
    154 2 4487748.0
    154 3 3009422.0
    155 1 6191640.0
    155 2 4795440.0
    155 3 4527460.0
    156 1 2597400.0
    156 2 11641938.0
    156 3 4853760.0
    157 1 12530700.0
    157 2 2726190.0
    157 3 9573120.0
    158 1 1504440.0
    158 2 4594934.0
    158 3 3297150.0
    159 1 2205240.0
    159 2 3588480.0
    159 3 9540960.0
    160 1 3819475.0
    160 2 4795440.0
    160 3 4844160.0
    161 1 2656342.0
    161 2 2567812.0
    161 3 5191650.0
    162 1 3043080.0
    162 2 3887856.0
    162 3 5597460.0
    163 1 2042550.0
    163 2 1194804.0
    163 3 4934760.0
    164 1 2243216.0
    164 2 2605578.0
    164 3 4965219.0
    165 1 2147600.0
    165 2 4852680.0
    165 3 4531200.0
    166 1 3276000.0
    166 2 2602449.0
    166 3 3203804.0
    167 1 4617376.0
    167 2 5453000.0
    167 3 6724809.0
    168 1 4241520.0
    168 2 6334500.0
    168 3 4237839.0
    169 1 1961190.0
    169 2 6286644.0
    169 3 3203804.0
    170 1 2371008.0
    170 2 3344250.0
    170 3 3133260.0
    171 1 3810520.0
    171 2 8893800.0
    171 3 8381952.0
    172 1 2199744.0
    172 2 2432564.0
    172 3 4726744.0
    173 1 3128828.0
    173 2 6191640.0
    173 3 5450668.0
    174 1 3584178.0
    174 2 7183890.0
    174 3 8407044.0
    175 1 3840900.0
    175 2 3810520.0
    175 3 8565480.0
    176 1 3197700.0
    176 2 12444035.0
    176 3 6547002.0
    177 1 11565416.0
    177 2 5197425.0
    177 3 3505190.0
    178 1 2147551.0
    178 2 3294144.0
    178 3 4589221.0
    179 1 3276000.0
    179 2 7246720.0
    179 3 9540960.0
    180 1 7151781.0
    180 2 4061475.0
    180 3 2328480.0
    181 1 6693970.0
    181 2 5368200.0
    181 3 3175328.0
    182 1 7246720.0
    182 2 2186064.0
    182 3 1836954.0
    183 1 3971916.0
    183 2 4617376.0
    183 3 8736720.0
    184 1 2637180.0
    184 2 18065124.0
    184 3 8703488.0
    185 1 7403570.0
    185 2 2077992.0
    185 3 6514908.0
    186 1 5639574.0
    186 2 3043080.0
    186 3 4221000.0
    187 1 1651260.0
    187 2 12530700.0
    187 3 3346200.0
    188 1 3000000.0
    188 2 3197700.0
    188 3 3899104.0
    189 1 5534016.0
    189 2 3840900.0
    189 3 4531800.0
    190 1 5285720.0
    190 2 2077992.0
    190 3 5884855.0
    191 1 3085600.0
    191 2 7755264.0
    191 3 4097000.0
    192 1 3709475.0
    192 2 2044720.0
    192 3 4407452.0
    193 1 9783180.0
    193 2 2243216.0
    193 3 5823792.0
    194 1 2392920.0
    194 2 3819475.0
    194 3 3342176.0
    195 1 3988400.0
    195 2 1698372.0
    195 3 2517840.0
    196 1 5878561.0
    196 2 6693970.0
    196 3 2837450.0
    197 1 3924000.0
    197 2 6720384.0
    197 3 3148200.0
    198 1 2458150.0
    198 2 16036152.0
    198 3 2583900.0
    199 1 7388024.0
    199 2 11565416.0
    199 3 3340326.0
    200 1 5534016.0
    200 2 7151781.0
    200 3 5555790.0
    201 1 2295408.0
    201 2 10717655.0
    201 3 1769320.0
    202 1 6710784.0
    202 2 2205240.0
    202 3 5193888.0
    203 1 2171648.0
    203 2 1961190.0
    203 3 2484432.0
    204 1 3341520.0
    204 2 3128828.0
    204 3 6274296.0
    205 1 2430000.0
    205 2 2147551.0
    205 3 4760702.0
    206 1 10943544.0
    206 2 2199744.0
    206 3 4168944.0
    207 1 3979408.0
    207 2 3584178.0
    207 3 4072320.0
    208 1 3988400.0
    208 2 4029376.0
    208 3 7378170.0
    209 1 3861144.0
    209 2 3276000.0
    209 3 4595580.0
    210 1 1049364.0
    210 2 2147600.0
    210 3 6430620.0
    211 1 3521364.0
    211 2 2042550.0
    211 3 4504250.0
    212 1 7430670.0
    212 2 3971916.0
    212 3 5460155.0
    213 1 7077138.0
    213 2 7403570.0
    213 3 8767050.0
    214 1 2042880.0
    214 2 4128705.0
    214 3 3118466.0
    215 1 2845920.0
    215 2 6451296.0
    215 3 12424968.0
    216 1 1762774.0
    216 2 4979010.0
    216 3 5207040.0
    217 1 3861144.0
    217 2 4941720.0
    217 3 3312195.0
    218 1 5485350.0
    218 2 3861144.0
    218 3 7378170.0
    219 1 16454025.0
    219 2 2295408.0
    219 3 1728870.0
    220 1 6587775.0
    220 2 9783180.0
    220 3 6019284.0
    221 1 4823280.0
    221 2 3628746.0
    221 3 1914668.0
    222 1 2808640.0
    222 2 3988400.0
    222 3 5846400.0
    223 1 0.0
    223 2 7077138.0
    223 3 5376000.0
    224 1 0.0
    224 2 14109082.0
    224 3 5376000.0
    225 1 0.0
    225 2 3988400.0
    225 3 8094000.0
    226 1 0.0
    226 2 7388024.0
    226 3 5376000.0
    227 1 0.0
    227 2 3521364.0
    227 3 7910910.0
    228 1 0.0
    228 2 6692400.0
    228 3 5845112.0
    229 1 0.0
    229 2 3979408.0
    229 3 846975.0
    230 1 0.0
    230 2 2367200.0
    230 3 6978384.0
    231 1 0.0
    231 2 5485350.0
    231 3 5108580.0
    232 1 0.0
    232 2 1762774.0
    232 3 4290000.0
    233 1 0.0
    233 2 8857800.0
    233 3 5022342.0
    234 1 0.0
    234 2 2594592.0
    234 3 6336400.0
    235 1 0.0
    235 2 10943544.0
    235 3 3712765.0
    236 1 0.0
    236 2 4678560.0
    236 3 7744513.0
    237 1 0.0
    237 2 5285720.0
    237 3 6176238.0
    238 1 0.0
    238 2 7430670.0
    238 3 7070700.0
    239 1 0.0
    239 2 5878561.0
    239 3 4277000.0
    240 1 0.0
    240 2 16454025.0
    240 3 4323735.0
    241 1 0.0
    241 2 0.0
    241 3 3374075.0
    242 1 0.0
    242 2 0.0
    242 3 3482444.0
    243 1 0.0
    243 2 0.0
    243 3 6747300.0
    244 1 0.0
    244 2 0.0
    244 3 5432140.0
    245 1 0.0
    245 2 0.0
    245 3 7695440.0
    246 1 0.0
    246 2 0.0
    246 3 6020448.0
    247 1 0.0
    247 2 0.0
    247 3 4108650.0
    248 1 0.0
    248 2 0.0
    248 3 6915675.0
    249 1 0.0
    249 2 0.0
    249 3 3436125.0
    250 1 0.0
    250 2 0.0
    250 3 1951300.0
    251 1 0.0
    251 2 0.0
    251 3 6763932.0
    252 1 0.0
    252 2 0.0
    252 3 7294848.0
    253 1 0.0
    253 2 0.0
    253 3 5206572.0
    254 1 0.0
    254 2 0.0
    254 3 3604500.0
    255 1 0.0
    255 2 0.0
    255 3 5010720.0
    256 1 0.0
    256 2 0.0
    256 3 3112164.0
    257 1 0.0
    257 2 0.0
    257 3 1951300.0
    258 1 0.0
    258 2 0.0
    258 3 6138000.0
    259 1 0.0
    259 2 0.0
    259 3 4129650.0
    260 1 0.0
    260 2 0.0
    260 3 3734100.0
    261 1 0.0
    261 2 0.0
    261 3 3360000.0
    262 1 0.0
    262 2 0.0
    262 3 5430048.0
    263 1 0.0
    263 2 0.0
    263 3 5139450.0
    264 1 0.0
    264 2 0.0
    264 3 5244109.0
    265 1 0.0
    265 2 0.0
    265 3 4938948.0
    266 1 0.0
    266 2 0.0
    266 3 2393184.0
    267 1 0.0
    267 2 0.0
    267 3 4717440.0
    268 1 0.0
    268 2 0.0
    268 3 14259882.0
    269 1 0.0
    269 2 0.0
    269 3 4802768.0
    270 1 0.0
    270 2 0.0
    270 3 3617120.0
    271 1 0.0
    271 2 0.0
    271 3 6413110.0
    272 1 0.0
    272 2 0.0
    272 3 3915000.0
    273 1 0.0
    273 2 0.0
    273 3 7805740.0
    274 1 0.0
    274 2 0.0
    274 3 2455616.0
    275 1 0.0
    275 2 0.0
    275 3 3715488.0
    276 1 0.0
    276 2 0.0
    276 3 3854950.0
    277 1 0.0
    277 2 0.0
    277 3 9013248.0
    278 1 0.0
    278 2 0.0
    278 3 1914000.0
    279 1 0.0
    279 2 0.0
    279 3 2712276.0
    280 1 0.0
    280 2 0.0
    280 3 4519500.0
    281 1 0.0
    281 2 0.0
    281 3 1695232.0
    282 1 0.0
    282 2 0.0
    282 3 2465280.0
    283 1 0.0
    283 2 0.0
    283 3 6038250.0
    284 1 0.0
    284 2 0.0
    284 3 6056862.0
    285 1 0.0
    285 2 0.0
    285 3 2465280.0
    286 1 0.0
    286 2 0.0
    286 3 3985200.0
    287 1 0.0
    287 2 0.0
    287 3 2880000.0
    288 1 0.0
    288 2 0.0
    288 3 9337172.0
    289 1 0.0
    289 2 0.0
    289 3 7822360.0
    290 1 0.0
    290 2 0.0
    290 3 7565040.0
    291 1 0.0
    291 2 0.0
    291 3 4572672.0
    292 1 0.0
    292 2 0.0
    292 3 2544480.0
    293 1 0.0
    293 2 0.0
    293 3 9209200.0
    294 1 0.0
    294 2 0.0
    294 3 4919040.0
    295 1 0.0
    295 2 0.0
    295 3 3795460.0
    296 1 0.0
    296 2 0.0
    296 3 5906055.0
    297 1 0.0
    297 2 0.0
    297 3 4559139.0
    298 1 0.0
    298 2 0.0
    298 3 2296800.0
    299 1 0.0
    299 2 0.0
    299 3 3787576.0
    300 1 0.0
    300 2 0.0
    300 3 3385692.0
    301 1 0.0
    301 2 0.0
    301 3 1725116.0
    302 1 0.0
    302 2 0.0
    302 3 1751220.0
    303 1 0.0
    303 2 0.0
    303 3 4783402.0
    304 1 0.0
    304 2 0.0
    304 3 857820.0
    305 1 0.0
    305 2 0.0
    305 3 2456928.0
    306 1 0.0
    306 2 0.0
    306 3 4559368.0
    307 1 0.0
    307 2 0.0
    307 3 2700000.0
    308 1 0.0
    308 2 0.0
    308 3 939176.0
    309 1 0.0
    309 2 0.0
    309 3 9535606.0
    310 1 0.0
    310 2 0.0
    310 3 8260560.0
    311 1 0.0
    311 2 0.0
    311 3 3682056.0
    312 1 0.0
    312 2 0.0
    312 3 8203344.0
    313 1 0.0
    313 2 0.0
    313 3 6219840.0
    314 1 0.0
    314 2 0.0
    314 3 3797024.0
    315 1 0.0
    315 2 0.0
    315 3 9306570.0
    316 1 0.0
    316 2 0.0
    316 3 3682056.0
    317 1 0.0
    317 2 0.0
    317 3 2865258.0
    318 1 0.0
    318 2 0.0
    318 3 3784725.0
    319 1 0.0
    319 2 0.0
    319 3 4050000.0
    320 1 0.0
    320 2 0.0
    320 3 5140965.0
    321 1 0.0
    321 2 0.0
    321 3 3583140.0
    322 1 0.0
    322 2 0.0
    322 3 9291520.0
    323 1 0.0
    323 2 0.0
    323 3 4966308.0
    324 1 0.0
    324 2 0.0
    324 3 3428352.0
    325 1 0.0
    325 2 0.0
    325 3 6249100.0
    326 1 0.0
    326 2 0.0
    326 3 3802590.0
    327 1 0.0
    327 2 0.0
    327 3 2865258.0
    328 1 0.0
    328 2 0.0
    328 3 7359650.0
    329 1 0.0
    329 2 0.0
    329 3 1916226.0
    330 1 0.0
    330 2 0.0
    330 3 939176.0
    331 1 0.0
    331 2 0.0
    331 3 5861124.0
    332 1 0.0
    332 2 0.0
    332 3 10988804.0
    333 1 0.0
    333 2 0.0
    333 3 4932396.0
    334 1 0.0
    334 2 0.0
    334 3 4453120.0
    335 1 0.0
    335 2 0.0
    335 3 7559550.0
;
param d :=
    1 1 11.0
    1 2 2.0
    1 3 2.0
    2 1 3.0
    2 2 8.0
    2 3 1.0
    3 1 3.0
    3 2 12.0
    3 3 1.0
    4 1 17.0
    4 2 3.0
    4 3 2.0
    5 1 13.0
    5 2 2.0
    5 3 3.0
    6 1 19.0
    6 2 1.0
    6 3 3.0
    7 1 7.0
    7 2 11.0
    7 3 2.0
    8 1 10.0
    8 2 2.0
    8 3 5.0
    9 1 5.0
    9 2 1.0
    9 3 4.0
    10 1 2.0
    10 2 3.0
    10 3 3.0
    11 1 7.0
    11 2 4.0
    11 3 1.0
    12 1 1.0
    12 2 2.0
    12 3 1.0
    13 1 1.0
    13 2 1.0
    13 3 3.0
    14 1 11.0
    14 2 3.0
    14 3 1.0
    15 1 1.0
    15 2 18.0
    15 3 2.0
    16 1 2.0
    16 2 2.0
    16 3 3.0
    17 1 11.0
    17 2 16.0
    17 3 3.0
    18 1 18.0
    18 2 4.0
    18 3 5.0
    19 1 16.0
    19 2 3.0
    19 3 2.0
    20 1 8.0
    20 2 10.0
    20 3 4.0
    21 1 1.0
    21 2 9.0
    21 3 2.0
    22 1 4.0
    22 2 13.0
    22 3 5.0
    23 1 2.0
    23 2 12.0
    23 3 2.0
    24 1 1.0
    24 2 2.0
    24 3 1.0
    25 1 5.0
    25 2 3.0
    25 3 7.0
    26 1 3.0
    26 2 1.0
    26 3 9.0
    27 1 7.0
    27 2 9.0
    27 3 2.0
    28 1 2.0
    28 2 1.0
    28 3 3.0
    29 1 7.0
    29 2 5.0
    29 3 4.0
    30 1 13.0
    30 2 6.0
    30 3 9.0
    31 1 1.0
    31 2 1.0
    31 3 10.0
    32 1 10.0
    32 2 1.0
    32 3 2.0
    33 1 3.0
    33 2 2.0
    33 3 1.0
    34 1 3.0
    34 2 9.0
    34 3 5.0
    35 1 10.0
    35 2 2.0
    35 3 1.0
    36 1 20.0
    36 2 1.0
    36 3 1.0
    37 1 10.0
    37 2 4.0
    37 3 5.0
    38 1 1.0
    38 2 1.0
    38 3 1.0
    39 1 3.0
    39 2 2.0
    39 3 5.0
    40 1 1.0
    40 2 12.0
    40 3 10.0
    41 1 25.0
    41 2 2.0
    41 3 6.0
    42 1 9.0
    42 2 1.0
    42 3 1.0
    43 1 10.0
    43 2 5.0
    43 3 10.0
    44 1 12.0
    44 2 10.0
    44 3 2.0
    45 1 23.0
    45 2 11.0
    45 3 1.0
    46 1 3.0
    46 2 10.0
    46 3 3.0
    47 1 3.0
    47 2 5.0
    47 3 10.0
    48 1 6.0
    48 2 11.0
    48 3 9.0
    49 1 25.0
    49 2 13.0
    49 3 1.0
    50 1 7.0
    50 2 3.0
    50 3 3.0
    51 1 1.0
    51 2 1.0
    51 3 5.0
    52 1 1.0
    52 2 12.0
    52 3 1.0
    53 1 12.0
    53 2 6.0
    53 3 8.0
    54 1 2.0
    54 2 1.0
    54 3 1.0
    55 1 1.0
    55 2 1.0
    55 3 9.0
    56 1 18.0
    56 2 2.0
    56 3 7.0
    57 1 1.0
    57 2 5.0
    57 3 1.0
    58 1 21.0
    58 2 2.0
    58 3 2.0
    59 1 9.0
    59 2 6.0
    59 3 2.0
    60 1 12.0
    60 2 1.0
    60 3 2.0
    61 1 1.0
    61 2 1.0
    61 3 8.0
    62 1 7.0
    62 2 1.0
    62 3 1.0
    63 1 1.0
    63 2 1.0
    63 3 13.0
    64 1 4.0
    64 2 10.0
    64 3 2.0
    65 1 9.0
    65 2 4.0
    65 3 3.0
    66 1 17.0
    66 2 4.0
    66 3 5.0
    67 1 8.0
    67 2 4.0
    67 3 3.0
    68 1 1.0
    68 2 2.0
    68 3 4.0
    69 1 5.0
    69 2 3.0
    69 3 4.0
    70 1 4.0
    70 2 1.0
    70 3 1.0
    71 1 1.0
    71 2 7.0
    71 3 2.0
    72 1 6.0
    72 2 12.0
    72 3 3.0
    73 1 1.0
    73 2 10.0
    73 3 2.0
    74 1 4.0
    74 2 2.0
    74 3 4.0
    75 1 5.0
    75 2 24.0
    75 3 2.0
    76 1 13.0
    76 2 7.0
    76 3 4.0
    77 1 2.0
    77 2 2.0
    77 3 8.0
    78 1 2.0
    78 2 6.0
    78 3 5.0
    79 1 2.0
    79 2 13.0
    79 3 5.0
    80 1 7.0
    80 2 2.0
    80 3 7.0
    81 1 11.0
    81 2 3.0
    81 3 1.0
    82 1 6.0
    82 2 1.0
    82 3 2.0
    83 1 2.0
    83 2 1.0
    83 3 1.0
    84 1 5.0
    84 2 5.0
    84 3 1.0
    85 1 3.0
    85 2 7.0
    85 3 1.0
    86 1 3.0
    86 2 3.0
    86 3 7.0
    87 1 3.0
    87 2 4.0
    87 3 4.0
    88 1 2.0
    88 2 12.0
    88 3 6.0
    89 1 2.0
    89 2 23.0
    89 3 5.0
    90 1 3.0
    90 2 1.0
    90 3 5.0
    91 1 18.0
    91 2 1.0
    91 3 15.0
    92 1 1.0
    92 2 8.0
    92 3 2.0
    93 1 26.0
    93 2 1.0
    93 3 1.0
    94 1 2.0
    94 2 3.0
    94 3 4.0
    95 1 1.0
    95 2 1.0
    95 3 3.0
    96 1 10.0
    96 2 1.0
    96 3 13.0
    97 1 9.0
    97 2 11.0
    97 3 1.0
    98 1 4.0
    98 2 30.0
    98 3 11.0
    99 1 13.0
    99 2 6.0
    99 3 2.0
    100 1 1.0
    100 2 1.0
    100 3 3.0
    101 1 1.0
    101 2 4.0
    101 3 11.0
    102 1 11.0
    102 2 8.0
    102 3 3.0
    103 1 1.0
    103 2 5.0
    103 3 2.0
    104 1 12.0
    104 2 2.0
    104 3 2.0
    105 1 1.0
    105 2 17.0
    105 3 1.0
    106 1 1.0
    106 2 5.0
    106 3 5.0
    107 1 3.0
    107 2 4.0
    107 3 2.0
    108 1 1.0
    108 2 1.0
    108 3 6.0
    109 1 17.0
    109 2 2.0
    109 3 2.0
    110 1 3.0
    110 2 2.0
    110 3 1.0
    111 1 8.0
    111 2 3.0
    111 3 2.0
    112 1 10.0
    112 2 1.0
    112 3 1.0
    113 1 29.0
    113 2 8.0
    113 3 6.0
    114 1 3.0
    114 2 1.0
    114 3 1.0
    115 1 1.0
    115 2 11.0
    115 3 6.0
    116 1 11.0
    116 2 4.0
    116 3 14.0
    117 1 31.0
    117 2 7.0
    117 3 15.0
    118 1 7.0
    118 2 4.0
    118 3 5.0
    119 1 1.0
    119 2 11.0
    119 3 8.0
    120 1 8.0
    120 2 14.0
    120 3 8.0
    121 1 21.0
    121 2 1.0
    121 3 1.0
    122 1 21.0
    122 2 2.0
    122 3 1.0
    123 1 1.0
    123 2 1.0
    123 3 1.0
    124 1 1.0
    124 2 6.0
    124 3 1.0
    125 1 18.0
    125 2 3.0
    125 3 2.0
    126 1 1.0
    126 2 1.0
    126 3 1.0
    127 1 2.0
    127 2 9.0
    127 3 2.0
    128 1 12.0
    128 2 16.0
    128 3 8.0
    129 1 8.0
    129 2 8.0
    129 3 3.0
    130 1 2.0
    130 2 1.0
    130 3 5.0
    131 1 9.0
    131 2 1.0
    131 3 14.0
    132 1 5.0
    132 2 2.0
    132 3 4.0
    133 1 1.0
    133 2 6.0
    133 3 1.0
    134 1 2.0
    134 2 9.0
    134 3 5.0
    135 1 12.0
    135 2 3.0
    135 3 1.0
    136 1 1.0
    136 2 17.0
    136 3 3.0
    137 1 28.0
    137 2 6.0
    137 3 6.0
    138 1 1.0
    138 2 14.0
    138 3 1.0
    139 1 10.0
    139 2 1.0
    139 3 3.0
    140 1 8.0
    140 2 5.0
    140 3 3.0
    141 1 20.0
    141 2 2.0
    141 3 1.0
    142 1 1.0
    142 2 12.0
    142 3 1.0
    143 1 10.0
    143 2 5.0
    143 3 2.0
    144 1 3.0
    144 2 12.0
    144 3 3.0
    145 1 22.0
    145 2 2.0
    145 3 14.0
    146 1 10.0
    146 2 5.0
    146 3 7.0
    147 1 16.0
    147 2 18.0
    147 3 4.0
    148 1 6.0
    148 2 1.0
    148 3 3.0
    149 1 3.0
    149 2 4.0
    149 3 11.0
    150 1 8.0
    150 2 1.0
    150 3 1.0
    151 1 16.0
    151 2 1.0
    151 3 2.0
    152 1 5.0
    152 2 2.0
    152 3 1.0
    153 1 5.0
    153 2 2.0
    153 3 1.0
    154 1 5.0
    154 2 11.0
    154 3 1.0
    155 1 6.0
    155 2 3.0
    155 3 9.0
    156 1 9.0
    156 2 2.0
    156 3 1.0
    157 1 10.0
    157 2 3.0
    157 3 6.0
    158 1 4.0
    158 2 5.0
    158 3 2.0
    159 1 10.0
    159 2 1.0
    159 3 1.0
    160 1 6.0
    160 2 1.0
    160 3 4.0
    161 1 2.0
    161 2 4.0
    161 3 5.0
    162 1 12.0
    162 2 15.0
    162 3 4.0
    163 1 16.0
    163 2 8.0
    163 3 1.0
    164 1 16.0
    164 2 12.0
    164 3 5.0
    165 1 4.0
    165 2 6.0
    165 3 2.0
    166 1 3.0
    166 2 1.0
    166 3 1.0
    167 1 7.0
    167 2 1.0
    167 3 3.0
    168 1 1.0
    168 2 10.0
    168 3 2.0
    169 1 16.0
    169 2 10.0
    169 3 3.0
    170 1 2.0
    170 2 1.0
    170 3 2.0
    171 1 18.0
    171 2 4.0
    171 3 4.0
    172 1 12.0
    172 2 2.0
    172 3 2.0
    173 1 6.0
    173 2 4.0
    173 3 2.0
    174 1 6.0
    174 2 20.0
    174 3 4.0
    175 1 3.0
    175 2 17.0
    175 3 4.0
    176 1 6.0
    176 2 6.0
    176 3 4.0
    177 1 8.0
    177 2 1.0
    177 3 8.0
    178 1 8.0
    178 2 1.0
    178 3 4.0
    179 1 3.0
    179 2 3.0
    179 3 1.0
    180 1 21.0
    180 2 2.0
    180 3 8.0
    181 1 30.0
    181 2 1.0
    181 3 5.0
    182 1 4.0
    182 2 1.0
    182 3 10.0
    183 1 18.0
    183 2 4.0
    183 3 6.0
    184 1 1.0
    184 2 5.0
    184 3 12.0
    185 1 3.0
    185 2 1.0
    185 3 11.0
    186 1 6.0
    186 2 6.0
    186 3 4.0
    187 1 1.0
    187 2 7.0
    187 3 1.0
    188 1 5.0
    188 2 7.0
    188 3 4.0
    189 1 2.0
    189 2 2.0
    189 3 1.0
    190 1 5.0
    190 2 1.0
    190 3 1.0
    191 1 1.0
    191 2 1.0
    191 3 11.0
    192 1 4.0
    192 2 9.0
    192 3 3.0
    193 1 5.0
    193 2 8.0
    193 3 1.0
    194 1 1.0
    194 2 3.0
    194 3 4.0
    195 1 4.0
    195 2 1.0
    195 3 12.0
    196 1 11.0
    196 2 16.0
    196 3 2.0
    197 1 2.0
    197 2 3.0
    197 3 8.0
    198 1 4.0
    198 2 11.0
    198 3 1.0
    199 1 10.0
    199 2 9.0
    199 3 8.0
    200 1 3.0
    200 2 17.0
    200 3 5.0
    201 1 3.0
    201 2 10.0
    201 3 1.0
    202 1 28.0
    202 2 10.0
    202 3 2.0
    203 1 12.0
    203 2 16.0
    203 3 8.0
    204 1 4.0
    204 2 3.0
    204 3 1.0
    205 1 16.0
    205 2 6.0
    205 3 3.0
    206 1 4.0
    206 2 6.0
    206 3 4.0
    207 1 4.0
    207 2 3.0
    207 3 3.0
    208 1 5.0
    208 2 1.0
    208 3 1.0
    209 1 1.0
    209 2 2.0
    209 3 5.0
    210 1 1.0
    210 2 2.0
    210 3 1.0
    211 1 7.0
    211 2 4.0
    211 3 1.0
    212 1 9.0
    212 2 12.0
    212 3 2.0
    213 1 13.0
    213 2 1.0
    213 3 6.0
    214 1 1.0
    214 2 2.0
    214 3 9.0
    215 1 2.0
    215 2 11.0
    215 3 5.0
    216 1 2.0
    216 2 1.0
    216 3 2.0
    217 1 1.0
    217 2 3.0
    217 3 1.0
    218 1 7.0
    218 2 2.0
    218 3 1.0
    219 1 16.0
    219 2 5.0
    219 3 6.0
    220 1 9.0
    220 2 4.0
    220 3 6.0
    221 1 1.0
    221 2 7.0
    221 3 3.0
    222 1 2.0
    222 2 2.0
    222 3 3.0
    223 1 0.0
    223 2 11.0
    223 3 2.0
    224 1 0.0
    224 2 7.0
    224 3 2.0
    225 1 0.0
    225 2 1.0
    225 3 3.0
    226 1 0.0
    226 2 7.0
    226 3 1.0
    227 1 0.0
    227 2 9.0
    227 3 3.0
    228 1 0.0
    228 2 6.0
    228 3 2.0
    229 1 0.0
    229 2 2.0
    229 3 2.0
    230 1 0.0
    230 2 7.0
    230 3 4.0
    231 1 0.0
    231 2 6.0
    231 3 1.0
    232 1 0.0
    232 2 1.0
    232 3 10.0
    233 1 0.0
    233 2 8.0
    233 3 3.0
    234 1 0.0
    234 2 1.0
    234 3 10.0
    235 1 0.0
    235 2 5.0
    235 3 3.0
    236 1 0.0
    236 2 4.0
    236 3 1.0
    237 1 0.0
    237 2 10.0
    237 3 3.0
    238 1 0.0
    238 2 6.0
    238 3 2.0
    239 1 0.0
    239 2 8.0
    239 3 5.0
    240 1 0.0
    240 2 12.0
    240 3 1.0
    241 1 0.0
    241 2 0.0
    241 3 8.0
    242 1 0.0
    242 2 0.0
    242 3 1.0
    243 1 0.0
    243 2 0.0
    243 3 9.0
    244 1 0.0
    244 2 0.0
    244 3 1.0
    245 1 0.0
    245 2 0.0
    245 3 6.0
    246 1 0.0
    246 2 0.0
    246 3 1.0
    247 1 0.0
    247 2 0.0
    247 3 4.0
    248 1 0.0
    248 2 0.0
    248 3 1.0
    249 1 0.0
    249 2 0.0
    249 3 2.0
    250 1 0.0
    250 2 0.0
    250 3 1.0
    251 1 0.0
    251 2 0.0
    251 3 1.0
    252 1 0.0
    252 2 0.0
    252 3 2.0
    253 1 0.0
    253 2 0.0
    253 3 2.0
    254 1 0.0
    254 2 0.0
    254 3 2.0
    255 1 0.0
    255 2 0.0
    255 3 1.0
    256 1 0.0
    256 2 0.0
    256 3 2.0
    257 1 0.0
    257 2 0.0
    257 3 1.0
    258 1 0.0
    258 2 0.0
    258 3 3.0
    259 1 0.0
    259 2 0.0
    259 3 3.0
    260 1 0.0
    260 2 0.0
    260 3 10.0
    261 1 0.0
    261 2 0.0
    261 3 7.0
    262 1 0.0
    262 2 0.0
    262 3 2.0
    263 1 0.0
    263 2 0.0
    263 3 6.0
    264 1 0.0
    264 2 0.0
    264 3 4.0
    265 1 0.0
    265 2 0.0
    265 3 3.0
    266 1 0.0
    266 2 0.0
    266 3 2.0
    267 1 0.0
    267 2 0.0
    267 3 3.0
    268 1 0.0
    268 2 0.0
    268 3 3.0
    269 1 0.0
    269 2 0.0
    269 3 3.0
    270 1 0.0
    270 2 0.0
    270 3 11.0
    271 1 0.0
    271 2 0.0
    271 3 3.0
    272 1 0.0
    272 2 0.0
    272 3 1.0
    273 1 0.0
    273 2 0.0
    273 3 4.0
    274 1 0.0
    274 2 0.0
    274 3 4.0
    275 1 0.0
    275 2 0.0
    275 3 4.0
    276 1 0.0
    276 2 0.0
    276 3 7.0
    277 1 0.0
    277 2 0.0
    277 3 1.0
    278 1 0.0
    278 2 0.0
    278 3 3.0
    279 1 0.0
    279 2 0.0
    279 3 8.0
    280 1 0.0
    280 2 0.0
    280 3 2.0
    281 1 0.0
    281 2 0.0
    281 3 5.0
    282 1 0.0
    282 2 0.0
    282 3 3.0
    283 1 0.0
    283 2 0.0
    283 3 5.0
    284 1 0.0
    284 2 0.0
    284 3 6.0
    285 1 0.0
    285 2 0.0
    285 3 1.0
    286 1 0.0
    286 2 0.0
    286 3 3.0
    287 1 0.0
    287 2 0.0
    287 3 1.0
    288 1 0.0
    288 2 0.0
    288 3 5.0
    289 1 0.0
    289 2 0.0
    289 3 2.0
    290 1 0.0
    290 2 0.0
    290 3 2.0
    291 1 0.0
    291 2 0.0
    291 3 1.0
    292 1 0.0
    292 2 0.0
    292 3 1.0
    293 1 0.0
    293 2 0.0
    293 3 6.0
    294 1 0.0
    294 2 0.0
    294 3 4.0
    295 1 0.0
    295 2 0.0
    295 3 3.0
    296 1 0.0
    296 2 0.0
    296 3 5.0
    297 1 0.0
    297 2 0.0
    297 3 3.0
    298 1 0.0
    298 2 0.0
    298 3 2.0
    299 1 0.0
    299 2 0.0
    299 3 6.0
    300 1 0.0
    300 2 0.0
    300 3 3.0
    301 1 0.0
    301 2 0.0
    301 3 7.0
    302 1 0.0
    302 2 0.0
    302 3 14.0
    303 1 0.0
    303 2 0.0
    303 3 4.0
    304 1 0.0
    304 2 0.0
    304 3 1.0
    305 1 0.0
    305 2 0.0
    305 3 4.0
    306 1 0.0
    306 2 0.0
    306 3 8.0
    307 1 0.0
    307 2 0.0
